economy,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
LVA,1145.29748535156,1063.8701171875,1052.02563476563,1090.48986816406,1599.72216796875,1482.60070800781,1479.50939941406,1389.07678222656,1458.5849609375,1457.37573242188,1768.48681640625,1891.18823242188,2012.6572265625,1688.28112792969,1838.72375488281,1885.26037597656,1886.88732910156,1772.65344238281,1854.32653808594,1808.60339355469,1596.54272460938,1784.63708496094,1792.1044921875,1904.81884765625
NLD,2283.2626953125,2430.6513671875,2482.01928710938,2639.82446289063,2649.34716796875,2846.71459960938,2723.40356445313,2703.853515625,2971.78491210938,2923.78198242188,3232.94921875,3093.11596679688,3061.72631835938,2824.30810546875,3219.04125976563,3664.36596679688,4361.3505859375,4915.6640625,4955.44677734375,4928.89013671875,5159.32373046875,5347.5791015625,5596.56884765625,5715.169921875
NOR,,3956.77905273438,,4089.17822265625,,4352.060546875,,4495.9130859375,4493.548828125,4576.56201171875,4831.93408203125,5159.67919921875,5361.11865234375,5443.0966796875,5413.76611328125,5502.46240234375,5552.974609375,5573.826171875,5685.626953125,5890.955078125,6077.56787109375,6350.0625,6432.60498046875,6673.90869140625
POL,1362.61889648438,1442.52770996094,1456.76574707031,1463.21337890625,1430.98376464844,1457.26989746094,1473.81127929688,1524.25134277344,1587.1015625,1620.11730957031,1553.21484375,1600.78112792969,1611.32373046875,1593.27111816406,1683.05419921875,1675.06164550781,1752.70678710938,1873.05993652344,2064.04956054688,2171.57885742188,2320.7900390625,3019.11450195313,3106.1064453125,3187.83618164063
PRT,1245.38488769531,1340.8251953125,1438.89074707031,1536.05883789063,1625.5341796875,1713.98669433594,1827.80493164063,1940.82006835938,1975.38732910156,2010.3974609375,2338.18334960938,2664.85473632813,3813.75708007813,3756.5009765625,3918.75903320313,4168.26708984375,4037.33203125,3610.55346679688,3662.37548828125,3729.77294921875,4004.57641601563,4367.73291015625,4646.134765625,4905.685546875
ROU,1328.74658203125,1255.91918945313,1223.78930664063,1052.689453125,924.949768066406,897.070617675781,928.281982421875,965.221313476563,985.128967285156,1071.93762207031,895.767517089844,894.163330078125,931.082580566406,933.763366699219,966.204162597656,790.688049316406,890.669982910156,922.674560546875,903.826293945313,876.228210449219,911.585205078125,891.321228027344,882.441284179688,895.966796875
SVK,1858.9404296875,1853.57482910156,1880.35632324219,1705.16821289063,1843.78796386719,1775.00268554688,1700.14672851563,1782.83251953125,1985.00573730469,2022.72180175781,2181.25830078125,2288.369140625,2331.2529296875,2460.58569335938,2809.39575195313,2833.44018554688,2820.16870117188,2716.36791992188,2715.55249023438,2650.2080078125,2599.9619140625,2794.83837890625,2995.95776367188,3111.04272460938
SVN,2257.40673828125,2023.69360351563,2156.099609375,2227.2734375,2181.39697265625,2263.18896484375,2335.87133789063,1899.02514648438,2024.89978027344,2633.11450195313,2924.9462890625,3106.1796875,3475.93627929688,3661.11962890625,3769.81372070313,4277.314453125,4317.18359375,4220.32763671875,4147.0615234375,3814.2158203125,3914.26123046875,4479.400390625,4845.42333984375,5054.71337890625
SWE,,4158.1474609375,,4499.0791015625,,5169.30126953125,,5383.046875,5426.0791015625,6085.1083984375,6126.64794921875,4999.7060546875,5437.1669921875,5079.7333984375,5251.4501953125,5144.5537109375,5164.09619140625,6674.349609375,6875.990234375,6834.0341796875,7154.529296875,7383.41943359375,7536.47509765625,7834.3994140625
TUR,304.341979980469,313.188598632813,308.578186035156,322.135803222656,365.005218505859,353.656433105469,368.330108642578,494.179077148438,505.537689208984,576.391479492188,620.498229980469,713.804809570313,749.9560546875,809.8349609375,889.58447265625,981.827453613281,1100.08410644531,1173.18823242188,1160.92358398438,1211.78503417969,1254.67456054688,1379.41198730469,1533.26452636719,1624.30139160156
